language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	examples	meaning	noun_class	dialect
Khwarshi	khva1239	1	1	АБА́Д/И	ʔ-a-b-'a-d-i	V (-и́) вечность, целая вечность; ито йу абади мзкь? когда же пройдет эта вечность? ¦ абадило антакьа никогда, ни во веки веков (категоричность отказа); абадило антакьа де йу йезби  никогда я на ней не женюсь	V (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	вечность	ито йу абади мзкь? когда же пройдет эта вечность? ¦ абадило антакьа никогда, ни во веки веков (категоричность отказа); абадило антакьа де йу йезби  никогда я на ней не женюсь	вечность, целая вечность;	V	
Khwarshi	khva1239	2	2	АБАДИ́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от абади 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду по́нить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	вечность		лок. от абади		
Khwarshi	khva1239	2	3	АБАДИ́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от абади 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду по́нить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	всегда	дили мо абадикьо шувокьби я тебя буду по́нить всегда	всегда; постоянно;		
Khwarshi	khva1239	2	4	АБАДИ́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от абади 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду по́нить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	вечно	абадило абадикьо во веки веков	вечно;		
Khwarshi	khva1239	3	5	АБАЗИНА́/В	ʔ-a-b-a-z-i-n-'a-w	I (-ви́, -бба, -бза́) абазинец	I (-ви́, -бба, -бза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абазинец		абазинец	I	
Khwarshi	khva1239	4	6	АБАЗИНА́/Й	ʔ-a-b-a-z-i-n-'a-j	II (-йи́, -бба, -бзе́) абазинка	II (-йи́, -бба, -бзе́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абазинка		абазинка	II	
Khwarshi	khva1239	5	7	АБАЗИНА́Б/БА	ʔ-a-b-a-z-i-n-'a-b-b-a	(-за́) абазинцы	(-за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абазинцы		абазинцы		квантладинский
Khwarshi	khva1239	6	8	АБА́С/И	ʔ-a-b-'a-s-i	V (-и́, -и́бо, -изб) уст. двугривенник, двадцать копеек; монета в 20 копеек; хIоIно абаси шестьдесят копеек; дихъо абаси йекIвли я уронила двадцать копеек; гьеншас багьа гъурушун абасин голи книга стоит один рубль двадцать копеек (есть) ¦ абасис багьайар гобусо а) не стоящий и двадцати копеек б) перен. дешёвый; квант. гIабаси	V (-и́, -и́бо, -изб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	двугривенник	хIоIно абаси шестьдесят копеек; дихъо абаси йекIвли я уронила двадцать копеек; гьеншас багьа гъурушун абасин голи книга стоит один рубль двадцать копеек (есть) ¦ абасис багьайар гобусо а) не стоящий и двадцати копеек б) перен. дешёвый; квант. гIабаси	уст. двугривенник, двадцать копеек; монета в 20 копеек;	V	
Khwarshi	khva1239	7	9	АБАХА́Р	ʔ-a-b-a-χ-'a-r	I, II (-и́, -ба, -зб) сосед; соседка; огу абахар хороший сосед; йогу абахар хорошая соседка; ило богутIа абахарба голи у нас хорошие соседи (есть); миIхъе голлу къеIмлъикьоз оге голлу абахар огу погов. близкий сосед лучше дальнего родственника (букв. сосед лучше родственника, живущего далеко; абахар гьечIчIе адгъул (//гьечIвдгъул) отIфкъ  посл. сосед ближе брата (букв. сосед первы́ придёт, подоспеет); цIо нетIха гьечIчIе адгъул абахар отIокъ при пожаре первы́ сосед прибежит; абахар рескьо эчлъо, логлъар ка́идоби если сосед состоятельный, то добро от него не минует; анхъ лессегьол абахарба исхо погов. не купи двора, а купи соседа; не купи до́, купи соседа (букв. пока до́ не приобрели, спроси о соседях); см. мадугьа́л	I, II (-и́, -ба, -зб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	сосед	огу абахар хороший сосед; йогу абахар хорошая соседка; ило богутIа абахарба голи у нас хорошие соседи (есть); миIхъе голлу къеIмлъикьоз оге голлу абахар огу погов. близкий сосед лучше дальнего родственника (букв. сосед лучше родственника, живущего далеко; абахар гьечIчIе адгъул (//гьечIвдгъул) отIфкъ  посл. сосед ближе брата (букв. сосед первы́ придёт, подоспеет); цIо нетIха гьечIчIе адгъул абахар отIокъ при пожаре первы́ сосед прибежит; абахар рескьо эчлъо, логлъар ка́идоби если сосед состоятельный, то добро от него не минует; анхъ лессегьол абахарба исхо погов. не купи двора, а купи соседа; не купи до́, купи соседа (букв. пока до́ не приобрели, спроси о соседях); см. мадугьа́л	сосед; соседка;	I, II	
Khwarshi	khva1239	8	10	АБАХА́РЛЪ/И	ʔ-a-b-a-χ-'a-r-ɬ-i	IV (-и́) 1) соседство 2) соседи	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	соседство		соседство	IV	
