language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	meaning	noun_class	dialect	examples
Khwarshi	khva1239	1	1	АБа́Д/И	ʔ-a-b-'a-d-i	V (-и́) вечность, целая вечность; ито йу абади мēкь? когда же пройдет эта вечность? ♦ абадило антакьа никогда, ни во веки веков (категоричность отказа); абадило антакьа де йу йезби  никогда я на ней не женюсь	V (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	вечность	вечность, целая вечность;	V		ито йу абади мēкь? когда же пройдет эта вечность? ♦ абадило антакьа никогда, ни во веки веков (категоричность отказа); абадило антакьа де йу йезби  никогда я на ней не женюсь
Khwarshi	khva1239	2	2	АБАДи́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от аба́ди 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду помнить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	вечность	лок. от аба́ди			
Khwarshi	khva1239	2	3	АБАДи́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от аба́ди 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду помнить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	всегда	всегда;			постоянно; дили мо абадикьо шувокьби я тебя буду помнить всегда
Khwarshi	khva1239	2	4	АБАДи́КЬО	ʔ-a-b-a-d-'i-tɬ’-o	1. лок. от аба́ди 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду помнить всегда 2) вечно; абадило абадикьо во веки веков		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	вечно	вечно;			абадило абадикьо во веки веков
Khwarshi	khva1239	3	5	АБАЗИНА́/В	ʔ-a-b-a-z-i-n-'a-w	I (-ви́, -бба, -бза́) абазинец	I (-ви́, -бба, -бза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абазинец	абазинец	I		
Khwarshi	khva1239	4	6	АБАЗИНА́/Й	ʔ-a-b-a-z-i-n-'a-j	II (-йи́, -бба, -бзе́) абазинка	II (-йи́, -бба, -бзе́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абазинка	абазинка	II		
Khwarshi	khva1239	5	7	АБАЗИНА́Б/БА	ʔ-a-b-a-z-i-n-'a-b-b-a	(-за́) абазинцы		Jacob Lvovski		Dzhidalaev, Magomedova, Khalilov 2022	абазинцы	абазинцы			
Khwarshi	khva1239	6	8	АБа́С/И	ʔ-a-b-'a-s-i	V (-и́, -и́бо, -иза́) уст. двугривенник, двадцать копеек; монета в 20 копеек; хIоIно абаси шестьдесят копеек; дихъо абаси йекIвли я уронила двадцать копеек; гьеᵸшас багьа гъурушун абасин голи книга стоит один рубль двадцать копеек (есть) ♦ абасис багьайар гобусо а) не стоящий и двадцати копеек б) перен. дешёвый; квант. гIабаси	V (-и́, -и́бо, -иза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	двугривенник	уст. двугривенник, двадцать копеек;	V	квантладинский	монета в 20 копеек; хIоIно абаси шестьдесят копеек; дихъо абаси йекIвли я уронила двадцать копеек; гьеᵸшас багьа гъурушун абасин голи книга стоит один рубль двадцать копеек (есть) ♦ абасис багьайар гобусо а) не стоящий и двадцати копеек б) перен. дешёвый; квант. гIабаси
Khwarshi	khva1239	7	9	АБАХа́Р	ʔ-a-b-a-χ-'a-r	I, II (-и́, -ба, -за́) сосед; соседка; огу абахар хороший сосед; йогу абахар хорошая соседка; ило богутIа абахарба голи у нас хорошие соседи (есть); миIхъе голлу къеIмлъикьоз оге голлу абахар огу погов. близкий сосед лучше дальнего родственника (букв. со­сед лучше родственника, живущего далеко; абахар гьечIчIе адгъул (//гьечIа̄д­гъул) отIōкъ  посл. сосед ближе брата (букв. сосед первым придёт, подоспеет); цIо нетIха гьечIчIе адгъул абахар отIокъ при пожаре первым сосед прибежит; абахар рескьо эчлъо, логлъар камидоби если сосед состоятельный, то добро от него не минует; аᵸхъ лессегьол абахарба исхо погов. не купи двора, а купи соседа; не купи дом, купи соседа (букв. пока дом не приобрели, спроси о соседях); см. мадугьа́л	II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	сосед	сосед;	I, II		соседка; огу абахар хороший сосед; йогу абахар хорошая соседка; ило богутIа абахарба голи у нас хорошие соседи (есть); миIхъе голлу къеIмлъикьоз оге голлу абахар огу погов. близкий сосед лучше дальнего родственника (букв. со­сед лучше родственника, живущего далеко; абахар гьечIчIе адгъул (//гьечIа̄д­гъул) отIōкъ  посл. сосед ближе брата (букв. сосед первым придёт, подоспеет); цIо нетIха гьечIчIе адгъул абахар отIокъ при пожаре первым сосед прибежит; абахар рескьо эчлъо, логлъар камидоби если сосед состоятельный, то добро от него не минует; аᵸхъ лессегьол абахарба исхо погов. не купи двора, а купи соседа; не купи дом, купи соседа (букв. пока дом не приобрели, спроси о соседях); см. мадугьа́л
Khwarshi	khva1239	8	10	АБАХА́РЛЪ/И	ʔ-a-b-a-χ-'a-r-ɬ-i	IV (-и́) 1) соседство 2) соседи	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	соседство	соседство			
